Iteration,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
516,6300,18200,4300,4300
517,6300,18100,4300,4400
518,6300,18100,4300,4400
519,6200,18200,4300,4400
520,6300,18100,4300,4400
521,6300,18100,4400,4300
522,6800,18300,5200,4300
523,6300,18200,4400,4300
524,6300,18200,4400,4300
525,6300,18100,4400,4300
526,6300,18100,4400,4300
527,6300,18100,4400,4300
528,6300,18100,4400,4300
529,6300,19000,4400,4300
530,6300,20100,4400,4300
531,6300,19000,4300,4300
532,6300,20200,4300,4300
533,6300,18900,4300,4300
534,6300,21000,4400,4300
535,6300,18600,4400,4400
536,6300,20100,4400,4400
537,6300,19000,4400,4400
538,6400,20100,4400,4300
539,6300,18400,4400,5100
540,6300,18600,4400,4300
541,6400,19300,4500,4400
542,6300,18000,4900,4400
543,6300,28500,4400,4400
544,6200,18100,4400,4400
545,6300,18100,4400,4400
546,6300,18300,4400,4400
547,6300,18100,4400,4400
548,6300,18300,4400,4400
549,7600,18100,7600,4400
550,6300,19200,6900,4300
551,6400,17800,7200,4300
552,6300,17700,8600,4300
553,6500,17700,6800,4400
554,6300,17700,10100,4400
555,6400,17700,7200,4300
556,6300,17700,7200,4300
557,6300,17700,7200,4300
558,6300,18500,13600,4300
559,6300,17700,7200,4300
560,6300,17700,8500,4300
561,6300,17700,9600,4300
562,6300,17700,8800,4400
563,6300,17800,7300,4400
564,6500,17700,11800,4400
565,6300,17800,9000,4400
566,6500,17700,47100,4400
567,6300,17800,18500,4400
568,6300,17700,7000,4400
569,6300,17800,16800,4400
570,6300,17700,10600,4400
571,6300,17700,20500,4400
572,6300,17600,4400,4400
573,6300,18400,4400,4400
574,6300,17700,4400,4400
575,6300,17700,4400,4400
576,6300,17700,4400,4400
577,6300,17700,4400,4400
578,6300,17700,4400,4400
579,6300,17800,4400,4400
580,6400,17700,4400,4400
581,6300,17700,4400,4400
582,6400,17700,4400,4400
583,6300,17700,4500,4400
584,6300,17700,4500,4400
585,6300,17700,4500,4400
586,6500,17700,4500,4400
587,6200,17700,4500,4400
588,6300,19000,4500,4400
589,6400,17700,4500,4400
590,6300,17600,4500,4400
591,6300,17600,5300,4400
592,6300,17700,4500,4400
593,6300,17700,4500,4400
594,6300,17700,4500,4400
595,6300,17700,4400,4400
596,6400,17600,4400,4400
597,6300,17600,4500,4400
598,6300,17700,4500,5200
599,6300,17700,4400,4400
600,6300,17700,5700,4400
601,6300,17600,4400,4400
602,6300,18400,4400,4400
603,6300,17700,4400,4400
604,6300,17700,4400,4400
605,6300,17700,4400,4400
606,6300,17600,4400,4400
607,6300,17600,4400,4400
608,7700,17600,4400,4400
609,6300,17700,4400,4400
610,6400,17700,4400,4400
611,6300,17700,4400,4400
612,6300,17600,4300,4300
613,6200,17600,4300,4300
614,6300,17600,5300,4300
615,6300,17700,4300,4300
616,6300,17700,4300,4300
617,6300,18500,4400,4300
618,6300,17700,4400,4400
619,6300,17700,4400,4400
620,6500,17700,4400,4400
621,6300,17600,4300,4400
622,6300,17700,4300,4400
623,6400,17700,4400,4400
624,6300,17700,4400,4400
625,6300,17700,4400,4400
626,6300,17700,4400,4400
627,6300,17700,4400,4400
628,6300,17600,4400,4400
629,6300,17600,4400,4400
630,6300,17700,4400,4400
631,6200,17700,4400,4400
632,6300,18500,4400,4400
633,6400,17700,4400,4400
634,6300,17700,4400,4400
635,6400,17700,4400,4400
636,6300,17600,4400,4400
637,6300,17600,4400,4400
638,6300,17600,4400,4400
639,6300,17700,4400,4400
640,6300,17700,4400,4400
641,6300,17700,4400,4300
642,6300,19200,4400,4300
643,6300,18000,4400,4300
644,6300,18100,4400,4300
645,6300,19500,4400,4300
646,6400,19200,4400,4300
647,6300,18400,4400,4400
648,6300,17700,4400,4400
649,6300,17700,4400,4400
650,6300,17600,4400,4400
651,6300,17700,4400,4400
652,6300,17700,4400,4400
653,6300,17700,4400,4400
654,6300,17700,4300,4400
655,6400,17700,4300,4400
656,6200,17700,4300,4400
657,6400,17600,4400,4400
658,6300,17600,4400,5200
659,6300,17600,4400,4400
660,6300,17700,4300,4400
661,6300,18500,4300,4400
662,6300,17700,4300,4400
663,6300,17800,4300,4400
664,6300,17700,4300,4400
665,6300,17800,4300,4400
666,6300,17700,4300,4800
667,8300,17800,4400,4400
668,6300,17700,4400,4400
669,6300,17800,4400,4400
670,6300,17700,4400,4400
671,6300,17700,4300,4400
672,6300,17700,4300,4400
673,6400,17700,5200,4400
674,6300,17700,4400,4400
675,6300,17800,4400,4400
676,6300,18500,4400,4400
677,6300,17700,4400,4400
678,7100,17600,4400,4300
679,6300,17600,4400,4300
680,6200,17600,4400,4400
681,6300,17700,4400,4400
682,6300,17700,4400,4400
683,6300,17700,4400,4300
684,6300,17700,4400,4300
685,6300,17600,4400,4300
686,6300,17700,4400,4300
687,6300,17700,4400,4300
688,6400,17700,4400,4300
689,6300,17700,4400,4300
690,6400,17600,4400,4400
691,6300,18400,4400,4400
692,6300,17700,4400,4400
693,6300,17700,4400,4400
694,6300,17700,4400,4300
695,6300,17700,4400,4300
696,6300,17600,4400,4400
697,6500,17700,4400,4400
698,6300,17700,4400,4400
699,6300,18100,4400,4400
700,6300,17600,4400,4400
701,6400,21600,4400,4400
702,6300,18200,4400,4400
703,6300,38800,4400,4400
704,6300,41000,4300,4400
705,6300,34400,4300,4400
706,6300,26200,4400,4400
707,6300,38200,4400,4400
708,6300,27500,4400,4400
709,6300,19000,4400,4400
710,6300,19000,4300,4400
711,6300,19900,4300,4400
712,6300,19700,4300,4400
713,6400,18200,4300,4400
714,6300,18200,4400,4400
715,6300,18200,4400,4400
716,6200,19100,4400,4400
717,6300,18200,4300,5200
718,6300,18200,4300,4400
719,6300,18200,4300,4400
720,6300,18200,4300,4400
721,6300,19200,4300,4400
722,6300,17800,4400,4400
723,6300,17700,4300,4400
724,6300,17800,4300,4400
725,6300,17800,4300,4400
726,6300,17700,4300,4400
727,7600,17700,4300,4400
728,6300,17700,4300,4400
729,6300,17700,4800,4400
730,6200,17700,4400,4400
731,6300,18500,4400,4400
732,6300,17800,4400,4400
733,6300,17700,5100,4400
734,6300,17800,4300,4400
735,6300,17700,4300,4400
736,6300,17800,4300,4400
737,6300,17700,4400,4400
738,6300,17800,4400,4400
739,6300,17700,4400,4400
740,6400,17700,4400,4400
741,6300,17800,4400,4400
742,6300,17700,4400,4400
743,6500,17800,4400,4400
744,6300,17700,4400,4400
745,6300,17800,4400,4400
746,6300,18500,4400,4400
747,6300,17700,4400,4400
748,6300,17800,4400,4300
749,6200,18200,4400,4300
750,6300,19100,4400,4300
751,6500,18000,4400,4400
752,6300,19300,4400,4400
753,6300,17700,4400,4400
754,6300,17700,4400,4300
755,6300,17800,4400,4300
756,6400,17700,4400,4300
757,6300,17700,4400,4300
758,6300,17700,4400,4300
759,6300,17700,4400,4300
760,6300,17700,4400,4300
761,6300,18500,4400,4300
762,6400,17700,4400,4300
763,6300,17700,4400,4300
764,6400,17700,4400,4300
765,6400,17700,4400,4300
766,6400,17700,4400,4300
767,6300,17700,4400,4300
768,6300,17700,4400,4400
769,6300,17700,4400,4400
770,6200,17600,4400,4400
771,6300,17700,4400,4300
772,6500,17700,4400,4300
773,6300,17600,4400,4300
774,6300,17600,4400,4400
775,6500,18800,4400,4400
776,6300,17700,4400,5100
777,6300,17600,4400,4300
778,6300,17700,4400,4300
779,6300,17700,4400,4300
780,6300,17700,4400,4300
781,6300,17700,4400,4300
782,6400,17700,4400,4300
783,6500,17700,4400,4400
784,6300,17700,4400,4400
785,6300,17700,4400,4400
786,10200,17600,4400,4300
787,6300,17700,4400,4300
788,6300,17700,4400,4400
789,6300,17700,4400,4400
790,6500,18500,4400,4400
791,6300,17600,4400,4400
792,6300,17700,5200,4400
793,6300,17700,4400,4400
794,6300,17700,4400,4400
795,6400,17700,4300,4400
796,6400,17600,4300,4400
797,6300,17600,4300,4400
798,6200,17600,4300,4400
799,6300,17700,4300,4400
800,6300,17700,4300,4400
801,6300,17700,4400,4400
