Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
399,4400,4400,18200,4400,4500
400,4400,4400,18900,4400,4500
401,4300,4400,18200,4400,4500
402,4300,4400,18100,4400,4500
403,4300,4400,18100,4300,4500
404,5200,4400,18100,4300,4500
405,4400,4400,18100,4300,4500
406,4400,4400,18100,4300,4500
407,4400,4300,18100,4300,4500
408,4400,4300,18100,4400,4500
409,4400,4300,18100,4400,4400
410,4400,4300,18100,4400,4400
411,4400,4400,18100,4400,4400
412,4400,4400,18100,4400,4400
413,4400,4400,18100,4400,4400
414,4300,4400,18200,4400,4400
415,4400,4400,18900,4400,4500
416,4400,4400,18100,4400,4500
417,4400,4400,18200,4400,4500
418,4400,4400,18100,4400,4500
419,4400,4400,18100,4400,5400
420,4400,4400,18100,4400,4500
421,4400,4400,18100,4400,4500
422,4400,4400,18200,4300,4500
423,4400,4400,18000,4400,4500
424,4400,4400,20100,4400,5800
425,4400,4300,19500,4400,4400
426,4400,4400,18500,4400,4400
427,4400,4400,18500,4400,4400
428,4400,4400,19500,4400,4400
429,4300,4400,19700,4400,4300
430,4300,4400,20700,4400,4300
431,4300,4400,19900,4400,4300
432,4300,4400,18200,4400,4300
433,4300,4400,18100,4400,4400
434,4400,4400,18100,4400,4400
435,4400,4400,18200,4400,4400
436,4400,4400,18000,4400,4400
437,4400,4400,18200,4300,4400
438,4400,4400,18100,5200,4400
439,4400,4400,18100,4300,4400
440,4400,4300,18100,4400,4400
441,4400,4300,18100,4400,4400
442,4400,5700,18100,4400,4400
443,4400,4300,18000,4400,4300
444,4300,4400,18100,4400,4300
445,4300,4400,24100,4400,4300
446,4300,4400,18100,4400,4300
447,4300,4400,18100,4400,4400
448,4400,4400,18200,4400,4400
449,4400,4400,18200,4400,4400
450,4400,4400,18100,4400,4400
451,4400,4400,18000,4300,5800
452,4400,4400,18100,4300,4400
453,4400,4400,18100,4300,4400
454,4400,4300,18100,4300,4400
455,4400,4400,18000,4300,4500
456,4400,4400,18100,4400,4500
457,4400,4400,18100,4400,4500
458,4300,4400,18000,4400,4500
459,4300,4400,18800,4400,4500
460,4300,4400,18000,4400,4500
461,4300,4400,18100,4400,4500
462,4300,4400,18100,4400,4500
463,5400,4400,18000,4400,4500
464,4300,4400,18100,4400,4500
465,4400,4400,18100,4400,4500
466,4400,4400,18100,4300,4500
467,4400,4400,18000,4300,4500
468,4400,4300,18000,4300,4500
469,4400,4400,18100,4300,4500
470,4400,4400,18100,4300,4500
471,4400,4300,18100,4400,4400
472,4400,4400,18000,4400,4400
473,4400,4400,18000,4400,4400
474,4400,4400,18900,4400,4400
475,4400,4400,18100,4400,4400
476,4400,4400,18100,4400,4500
477,4400,4400,18100,4400,4500
