Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
405,29600,32300,32600,31300,30300
406,29600,31100,31100,30300,30300
407,29500,30800,31100,30600,30400
408,29500,31000,31100,30300,30300
409,29300,30800,31000,30600,30300
410,30600,31000,31000,30400,30200
411,29600,30900,31100,31200,31000
412,29400,31100,31100,30300,30300
413,29700,31600,31100,30700,30300
414,29500,31000,32000,31400,30300
415,29400,31000,31200,30700,30400
416,29500,31000,31200,30600,30300
417,29600,31000,31100,30800,30300
418,30300,31000,31100,30600,31200
419,29200,31000,31100,30700,30100
420,29300,31100,31100,30500,31300
421,29200,31000,31200,30700,30300
422,29300,35400,32400,31300,30300
423,29200,31000,31000,30400,30300
424,29300,31000,31000,30500,30400
425,29100,31000,31000,30600,30200
426,29300,31000,31100,30300,30300
427,30000,31100,31100,30900,30400
428,30800,31000,31000,30500,30300
429,29200,31100,32200,30400,31200
430,29200,31700,32800,30300,30200
431,29300,30800,31100,31200,30300
432,29200,30900,32700,30400,30200
433,29200,30800,31900,30300,30300
434,29200,31700,32500,30300,30300
435,29200,30900,32500,30600,30200
436,30100,30900,31700,30400,30200
437,29300,30900,32700,30300,31000
438,29300,30800,31100,30300,30400
439,29400,31700,32600,31100,30500
440,29500,30800,31100,30500,30400
441,29500,30800,31100,30500,30200
442,29300,30800,31100,30500,30400
443,29400,30800,31100,30500,30400
444,29300,30800,31000,30500,30400
445,30200,30800,31000,30500,30200
446,29400,30800,31100,30500,31100
447,29300,31500,33300,30500,30300
448,29200,30900,32700,31400,30400
449,29200,30500,32700,30300,30700
450,29300,30900,32800,30500,30200
451,29200,30800,32700,30400,31100
452,29200,30900,32800,30200,30300
453,29300,30900,32700,30200,30300
454,30300,31000,32700,30200,30300
455,29300,30800,32900,30200,31400
456,29300,31400,31100,31000,30700
457,29300,30700,31000,30700,30300
458,29300,30700,31000,30800,30700
459,29400,30700,31000,30500,30300
460,29300,30700,32600,31300,30300
461,29300,30700,31200,30700,30400
462,30300,30700,31200,30700,30500
463,30100,30800,32000,30500,31200
464,29100,31500,31000,30700,30400
465,29200,30800,30800,31200,30300
466,29100,30800,31100,30500,30400
467,29000,31600,30900,30500,30400
468,29100,30600,30900,30500,30300
469,29200,31000,31000,30500,30400
470,29100,31000,31100,30500,30300
471,29100,30900,31100,30600,30300
472,30100,31000,32000,30500,31200
473,29300,31700,31100,31200,30500
474,29400,30800,31000,30500,30300
475,29300,30900,31000,30500,30400
476,29300,31000,31100,30500,30500
477,29400,30900,31100,30500,30400
478,31200,31000,31200,30300,30400
479,30000,30800,31100,30500,30300
480,29900,31000,32600,30600,31200
481,30700,31700,31500,30300,30200
482,29700,30900,31100,31300,30200
483,30300,30800,31200,30500,30800
484,30000,30800,31400,30500,30400
485,31000,30800,31100,30500,30300
486,29300,30800,31200,30400,30400
487,29300,30800,31100,30400,30400
488,29300,30800,31100,30400,30400
489,29300,30800,32500,30500,31200
490,30000,31500,31100,30400,30300
491,30900,30800,30900,31300,30300
492,30000,30800,31700,31000,30400
493,30700,30800,31000,30500,30300
494,29300,30800,31100,30400,30300
495,30400,30800,31100,30500,30300
496,29300,30800,31100,30500,30400
497,29400,30800,32000,30500,31200
498,29300,31600,31100,30500,30500
499,30100,34300,31200,31200,30400
500,29300,30800,31100,30500,30400
501,29300,31000,31100,30500,30400
502,29300,31000,31100,30500,30400
503,29400,31000,31100,30500,30400
504,29400,31100,31100,30500,30300
505,29400,31100,32000,30400,30500
506,29400,32000,31500,30500,31300
507,29300,30700,31200,30500,30700
508,30000,30800,31300,31300,30600
509,29300,30700,31500,30600,30500
510,30800,30800,31100,30500,30400
511,29900,30800,31100,30400,30400
512,29900,30800,31100,30400,30700
513,29800,30800,31100,30400,30400
514,30900,30800,32600,30500,30400
515,29200,31700,31200,30400,31200
516,30000,31000,31300,31300,31900
517,29100,30900,31100,30500,30400
518,29200,30900,31100,30500,30400
519,29100,30900,31100,30500,30400
520,29100,30900,31100,30600,30400
521,29100,31000,31100,30500,30400
522,29200,30900,34700,30600,30200
523,29200,31800,32200,30500,31100
524,29200,30900,31400,30400,30600
525,30000,30900,31300,34200,30300
526,29200,30900,31600,32500,30600
527,29200,30900,31200,31300,30300
528,29200,30900,31400,31100,30300
529,30900,30900,31500,31200,30900
530,29200,30900,32300,32400,30300
531,29300,31500,31100,30600,30400
532,29300,31700,31100,32100,31300
533,29300,30900,31300,38900,30900
534,30100,31000,31100,30600,30300
535,29300,31000,31400,30400,30800
536,29300,31000,31100,30500,30500
537,29300,30900,31400,30500,30500
538,29400,31000,31100,30600,30400
539,29300,31000,32000,30500,30400
540,29300,31800,31000,30500,31200
541,29400,30900,31100,30500,30300
542,29300,30800,31100,31300,30500
543,31600,30800,31100,30500,30400
544,29200,30800,31100,30400,30400
545,29200,30800,31100,30600,30100
546,29200,30900,30800,30500,30400
547,31100,30800,32400,30500,30400
548,30900,30800,31400,30500,30900
549,30800,31400,31400,30600,31900
550,30000,30700,31100,31500,30100
551,30000,30600,31300,30600,30300
552,32100,30700,31100,30700,30300
553,29100,30700,31100,30600,30300
554,29200,30700,31400,30500,30100
555,29200,30700,32000,30600,30100
556,29300,30700,32700,31400,30000
557,29300,31500,31500,30500,30200
558,29300,30800,31500,30500,31700
559,29300,30900,31100,31900,30400
560,29300,30800,31400,30300,30300
561,30200,30900,31100,30400,30300
562,29800,30900,31200,30200,30300
563,29300,36500,31100,30300,30300
564,29200,32800,32400,30300,30400
565,29300,33500,31200,30200,30300
566,29100,33200,31500,30300,31300
567,29300,32300,31200,30300,30400
568,29200,33100,31200,31200,30200
569,29200,33300,31200,30500,30200
570,30100,32300,31200,30500,30400
571,29800,33200,31300,30500,30400
572,29800,31700,32000,30500,30300
573,29300,31700,31100,30500,30300
574,29300,32400,31100,30500,30300
575,30800,31800,31200,30500,31700
576,30000,31800,31000,31900,30300
577,29900,31800,31000,30600,30400
578,29900,31700,31100,30500,30300
579,31600,31800,31100,30500,30500
580,30800,33000,31100,30500,30300
581,29400,31000,32000,30600,30900
582,29300,33000,31500,30500,30400
583,28800,32000,31500,30600,31200
584,29200,31300,31200,30500,30400
585,29400,31300,31200,31300,30300
586,31000,31600,31300,31000,30400
587,30100,31400,31800,30800,30400
588,35900,32800,31500,30800,30300
589,29900,33000,32200,32200,30300
590,30600,32700,31300,32400,30400
591,29200,31800,30900,31200,30300
592,29300,30900,31200,31300,31100
593,30700,30900,31400,32000,30400
594,29400,32200,31300,31200,30300
595,36200,30900,31000,31300,30400
596,30900,30900,31300,31000,30400
597,30700,30800,32100,32400,30400
598,29300,32600,31100,30600,30300
599,29300,32200,31100,30600,30400
600,29300,31600,31000,30300,30400
601,29300,32300,31000,30600,31200
602,29300,31300,31000,31300,30400
603,29300,31300,31000,30600,30400
604,29200,31300,31100,30500,30300
605,29300,31400,31000,30400,30400
606,30100,31500,32000,30500,30400
607,29200,31400,31200,30500,30400
608,29200,42100,31500,30500,30400
609,29200,31800,31500,30300,31200
610,29200,31600,31200,31300,30300
611,29200,31700,31000,30600,30300
612,29200,31600,31100,30500,30400
613,29200,31700,31100,30500,30300
614,29200,31800,31900,30500,30900
615,30100,31700,31100,30500,30300
616,29100,32500,31000,30500,30300
617,29300,31700,31000,30600,30300
618,29300,31600,31000,30500,31200
619,29300,31700,36100,31400,30400
620,29100,31800,34100,30500,30500
621,29000,32800,34000,31200,30400
622,29100,31100,34100,30600,30400
623,29300,30500,41500,30600,30400
624,30600,31100,34100,30500,30400
625,29700,32800,34100,30500,30400
626,29800,30800,33200,30500,31000
627,31500,30800,31900,30600,30300
628,30400,30800,34300,31300,30400
629,31600,30900,33100,30500,30400
630,29700,30800,31000,30500,30300
631,30100,30800,31700,30600,30400
632,30900,30800,30800,30600,30400
633,30300,31600,30900,30600,30300
634,30000,30900,30900,30500,30300
635,30200,30700,31100,30500,31100
636,30200,30900,31100,31300,30300
637,30100,30800,31100,30400,30400
638,30900,31000,31100,30500,30400
639,29500,30800,32000,30500,30300
640,29500,32800,31200,30600,30300
641,30300,32400,31200,30500,30200
642,31500,33300,31300,30500,30400
643,31000,31400,31300,30400,30400
644,29400,31500,31200,30500,31100
645,29500,31600,31200,31300,30400
646,29200,34000,31300,30500,656300
647,29400,31500,31200,30500,30400
648,29500,31600,32300,30500,30400
649,29400,31700,32300,30500,30300
650,30000,33700,31100,30600,30300
651,29200,32400,31200,30500,30400
652,29300,31300,31200,30500,31300
653,29200,31600,31200,31200,30300
654,29200,31300,31200,31100,30400
655,29200,32700,31200,30600,30300
656,29200,31900,32100,30500,30300
657,29200,30900,31200,30500,30300
658,29200,30900,31100,30600,30400
659,30100,31500,31300,30600,31600
660,29400,32600,31200,30500,32000
661,29500,32600,31100,30600,31900
662,30500,30600,31100,31200,31100
663,29100,30600,31200,30600,32300
664,29200,30500,32000,30500,32100
665,29200,30500,31200,30600,31900
666,29300,30600,31200,30500,32300
667,29200,31500,31500,30600,32100
668,30100,30900,31300,30500,30300
669,29100,30800,31200,30500,31200
670,29200,30900,31200,31200,30300
671,29200,30800,31200,30400,30300
672,29200,30800,31300,30400,30400
673,29200,30800,32500,30500,30100
674,29100,30800,30900,30500,30300
675,29100,30800,30900,30500,30300
676,29100,31600,30900,30500,30400
677,30000,30800,31100,30500,30400
678,29300,30800,30900,30900,31200
679,29300,30800,31100,31200,30500
680,29300,30800,31100,30400,30500
681,29400,30800,32700,30300,30400
682,29300,30800,31200,30500,30500
683,29400,30900,31100,30300,30300
